date,line_key,queue,channel,welsh_language,weekday,is_bank_holiday,offered,handled,abandoned,aht_seconds,service_level_attained,workload_hours
2024-01-01,billing.voice,Billing & payments,voice,False,0,True,0.0,0.0,0.0,417.9,0.9341,0.0
2024-01-02,billing.voice,Billing & payments,voice,False,1,False,2306.0,2262.0,44.0,410.6,0.8462,258.015
2024-01-03,billing.voice,Billing & payments,voice,False,2,False,3418.0,3338.0,80.0,403.9,0.8406,374.465
2024-01-04,billing.voice,Billing & payments,voice,False,3,False,3474.0,3332.0,142.0,396.6,0.7564,367.08
2024-01-05,billing.voice,Billing & payments,voice,False,4,False,2734.0,2694.0,40.0,400.6,0.8382,299.78
2024-01-06,billing.voice,Billing & payments,voice,False,5,False,1285.0,1267.0,18.0,383.4,0.8135,134.948
2024-01-07,billing.voice,Billing & payments,voice,False,6,False,593.0,578.0,15.0,388.2,0.777,62.329
2024-01-08,billing.voice,Billing & payments,voice,False,0,False,3095.0,3045.0,50.0,408.6,0.8525,345.615
2024-01-09,billing.voice,Billing & payments,voice,False,1,False,4881.0,4785.0,96.0,401.5,0.867,533.655
2024-01-10,billing.voice,Billing & payments,voice,False,2,False,3507.0,3429.0,78.0,409.8,0.8446,390.302
2024-01-11,billing.voice,Billing & payments,voice,False,3,False,3563.0,3443.0,120.0,406.5,0.8251,388.743
2024-01-12,billing.voice,Billing & payments,voice,False,4,False,3296.0,3203.0,93.0,414.7,0.7589,369.007
2024-01-13,billing.voice,Billing & payments,voice,False,5,False,1582.0,1545.0,37.0,389.0,0.8519,166.953
2024-01-14,billing.voice,Billing & payments,voice,False,6,False,724.0,713.0,11.0,387.6,0.915,76.758
2024-01-15,billing.voice,Billing & payments,voice,False,0,False,3461.0,3375.0,86.0,406.0,0.9502,380.671
2024-01-16,billing.voice,Billing & payments,voice,False,1,False,4967.0,4798.0,169.0,391.5,0.8833,521.796
2024-01-17,billing.voice,Billing & payments,voice,False,2,False,3609.0,3498.0,111.0,400.2,0.902,388.851
2024-01-18,billing.voice,Billing & payments,voice,False,3,False,3570.0,3483.0,87.0,413.1,0.7982,399.669
2024-01-19,billing.voice,Billing & payments,voice,False,4,False,3024.0,2945.0,79.0,400.1,0.9387,327.321
2024-01-20,billing.voice,Billing & payments,voice,False,5,False,1510.0,1475.0,35.0,380.4,0.8525,155.842
2024-01-21,billing.voice,Billing & payments,voice,False,6,False,783.0,765.0,18.0,384.9,0.7688,81.797
2024-01-22,billing.voice,Billing & payments,voice,False,0,False,3587.0,3502.0,85.0,429.2,0.8611,417.497
2024-01-23,billing.voice,Billing & payments,voice,False,1,False,3080.0,3007.0,73.0,415.7,0.8318,347.232
2024-01-24,billing.voice,Billing & payments,voice,False,2,False,3282.0,3151.0,131.0,403.4,0.8387,353.064
2024-01-25,billing.voice,Billing & payments,voice,False,3,False,2371.0,2343.0,28.0,407.9,0.8428,265.449
2024-01-26,billing.voice,Billing & payments,voice,False,4,False,4175.0,4085.0,90.0,400.6,0.8201,454.604
2024-01-27,billing.voice,Billing & payments,voice,False,5,False,2202.0,2088.0,114.0,390.0,0.7587,226.215
2024-01-28,billing.voice,Billing & payments,voice,False,6,False,720.0,705.0,15.0,382.6,0.9065,74.929
2024-01-29,billing.voice,Billing & payments,voice,False,0,False,3610.0,3518.0,92.0,402.6,0.754,393.447
2024-01-30,billing.voice,Billing & payments,voice,False,1,False,2639.0,2584.0,55.0,398.6,0.8105,286.13
2024-01-31,billing.voice,Billing & payments,voice,False,2,False,3250.0,3112.0,138.0,403.9,0.7902,349.173
2024-02-01,billing.voice,Billing & payments,voice,False,3,False,2808.0,2745.0,63.0,399.3,0.8119,304.45
2024-02-02,billing.voice,Billing & payments,voice,False,4,False,4089.0,3996.0,93.0,413.3,0.861,458.775
2024-02-03,billing.voice,Billing & payments,voice,False,5,False,1779.0,1751.0,28.0,391.3,0.8733,190.331
2024-02-04,billing.voice,Billing & payments,voice,False,6,False,735.0,717.0,18.0,393.3,0.814,78.323
2024-02-05,billing.voice,Billing & payments,voice,False,0,False,3508.0,3412.0,96.0,417.4,0.8382,395.648
2024-02-06,billing.voice,Billing & payments,voice,False,1,False,2825.0,2744.0,81.0,379.9,0.8406,289.605
2024-02-07,billing.voice,Billing & payments,voice,False,2,False,2691.0,2631.0,60.0,401.2,0.8794,293.199
2024-02-08,billing.voice,Billing & payments,voice,False,3,False,3283.0,3152.0,131.0,396.6,0.7883,347.273
2024-02-09,billing.voice,Billing & payments,voice,False,4,False,3650.0,3573.0,77.0,405.1,0.8962,402.02
2024-02-10,billing.voice,Billing & payments,voice,False,5,False,1734.0,1694.0,40.0,394.9,0.8378,185.805
2024-02-11,billing.voice,Billing & payments,voice,False,6,False,800.0,776.0,24.0,378.8,0.8915,81.647
2024-02-12,billing.voice,Billing & payments,voice,False,0,False,3486.0,3424.0,62.0,406.3,0.8163,386.41
2024-02-13,billing.voice,Billing & payments,voice,False,1,False,3025.0,2927.0,98.0,404.3,0.8525,328.686
2024-02-14,billing.voice,Billing & payments,voice,False,2,False,5320.0,5221.0,99.0,445.1,0.7911,645.471
2024-02-15,billing.voice,Billing & payments,voice,False,3,False,6327.0,6119.0,208.0,434.4,0.777,738.298
2024-02-16,billing.voice,Billing & payments,voice,False,4,False,5789.0,5699.0,90.0,441.3,0.8839,698.54
2024-02-17,billing.voice,Billing & payments,voice,False,5,False,3777.0,3567.0,210.0,418.2,0.7481,414.32
2024-02-18,billing.voice,Billing & payments,voice,False,6,False,1295.0,1278.0,17.0,415.7,0.7806,147.591
2024-02-19,billing.voice,Billing & payments,voice,False,0,False,5846.0,5702.0,144.0,444.9,0.8396,704.67
2024-02-20,billing.voice,Billing & payments,voice,False,1,False,4286.0,4211.0,75.0,428.2,0.9127,500.889
2024-02-21,billing.voice,Billing & payments,voice,False,2,False,3639.0,3595.0,44.0,414.4,0.8903,413.85
2024-02-22,billing.voice,Billing & payments,voice,False,3,False,3407.0,3347.0,60.0,425.0,0.8481,395.091
2024-02-23,billing.voice,Billing & payments,voice,False,4,False,3900.0,3810.0,90.0,421.4,0.6953,445.938
2024-02-24,billing.voice,Billing & payments,voice,False,5,False,1721.0,1684.0,37.0,410.8,0.8783,192.145
2024-02-25,billing.voice,Billing & payments,voice,False,6,False,654.0,634.0,20.0,402.6,0.8844,70.903
