line_key,weekday,interval,interval_start,share
billing.voice,0,16,08:00,0.018112
billing.voice,0,17,08:30,0.052578
billing.voice,0,18,09:00,0.072579
billing.voice,0,19,09:30,0.086711
billing.voice,0,20,10:00,0.089916
billing.voice,0,21,10:30,0.081564
billing.voice,0,22,11:00,0.065778
billing.voice,0,23,11:30,0.047257
billing.voice,0,24,12:00,0.028254
billing.voice,0,25,12:30,0.017711
billing.voice,0,26,13:00,0.028833
billing.voice,0,27,13:30,0.052316
billing.voice,0,28,14:00,0.068667
billing.voice,0,29,14:30,0.07327
billing.voice,0,30,15:00,0.06876
billing.voice,0,31,15:30,0.057819
billing.voice,0,32,16:00,0.043641
billing.voice,0,33,16:30,0.029564
billing.voice,0,34,17:00,0.010785
billing.voice,0,35,17:30,0.005885
billing.voice,1,16,08:00,0.018112
billing.voice,1,17,08:30,0.052578
billing.voice,1,18,09:00,0.072579
billing.voice,1,19,09:30,0.086711
billing.voice,1,20,10:00,0.089916
billing.voice,1,21,10:30,0.081564
billing.voice,1,22,11:00,0.065778
billing.voice,1,23,11:30,0.047257
billing.voice,1,24,12:00,0.028254
billing.voice,1,25,12:30,0.017711
billing.voice,1,26,13:00,0.028833
billing.voice,1,27,13:30,0.052316
billing.voice,1,28,14:00,0.068667
billing.voice,1,29,14:30,0.07327
billing.voice,1,30,15:00,0.06876
billing.voice,1,31,15:30,0.057819
billing.voice,1,32,16:00,0.043641
billing.voice,1,33,16:30,0.029564
billing.voice,1,34,17:00,0.010785
billing.voice,1,35,17:30,0.005885
billing.voice,2,16,08:00,0.018112
billing.voice,2,17,08:30,0.052578
billing.voice,2,18,09:00,0.072579
billing.voice,2,19,09:30,0.086711
billing.voice,2,20,10:00,0.089916
billing.voice,2,21,10:30,0.081564
billing.voice,2,22,11:00,0.065778
billing.voice,2,23,11:30,0.047257
billing.voice,2,24,12:00,0.028254
billing.voice,2,25,12:30,0.017711
billing.voice,2,26,13:00,0.028833
billing.voice,2,27,13:30,0.052316
billing.voice,2,28,14:00,0.068667
billing.voice,2,29,14:30,0.07327
billing.voice,2,30,15:00,0.06876
billing.voice,2,31,15:30,0.057819
billing.voice,2,32,16:00,0.043641
billing.voice,2,33,16:30,0.029564
billing.voice,2,34,17:00,0.010785
billing.voice,2,35,17:30,0.005885
billing.voice,3,16,08:00,0.018112
billing.voice,3,17,08:30,0.052578
billing.voice,3,18,09:00,0.072579
billing.voice,3,19,09:30,0.086711
billing.voice,3,20,10:00,0.089916
billing.voice,3,21,10:30,0.081564
billing.voice,3,22,11:00,0.065778
billing.voice,3,23,11:30,0.047257
billing.voice,3,24,12:00,0.028254
billing.voice,3,25,12:30,0.017711
billing.voice,3,26,13:00,0.028833
billing.voice,3,27,13:30,0.052316
billing.voice,3,28,14:00,0.068667
billing.voice,3,29,14:30,0.07327
billing.voice,3,30,15:00,0.06876
billing.voice,3,31,15:30,0.057819
billing.voice,3,32,16:00,0.043641
billing.voice,3,33,16:30,0.029564
billing.voice,3,34,17:00,0.010785
billing.voice,3,35,17:30,0.005885
billing.voice,4,16,08:00,0.018112
billing.voice,4,17,08:30,0.052578
billing.voice,4,18,09:00,0.072579
billing.voice,4,19,09:30,0.086711
billing.voice,4,20,10:00,0.089916
billing.voice,4,21,10:30,0.081564
billing.voice,4,22,11:00,0.065778
billing.voice,4,23,11:30,0.047257
billing.voice,4,24,12:00,0.028254
billing.voice,4,25,12:30,0.017711
billing.voice,4,26,13:00,0.028833
billing.voice,4,27,13:30,0.052316
billing.voice,4,28,14:00,0.068667
billing.voice,4,29,14:30,0.07327
billing.voice,4,30,15:00,0.06876
billing.voice,4,31,15:30,0.057819
billing.voice,4,32,16:00,0.043641
billing.voice,4,33,16:30,0.029564
billing.voice,4,34,17:00,0.010785
billing.voice,4,35,17:30,0.005885
billing.voice,5,17,08:30,0.054675
billing.voice,5,18,09:00,0.137226
billing.voice,5,19,09:30,0.163945
billing.voice,5,20,10:00,0.170004
billing.voice,5,21,10:30,0.154214
billing.voice,5,22,11:00,0.124366
billing.voice,5,23,11:30,0.089349
billing.voice,5,24,12:00,0.053419
billing.voice,5,25,12:30,0.020092
billing.voice,5,26,13:00,0.032709
billing.webchat,0,16,08:00,0.018112
billing.webchat,0,17,08:30,0.052578
billing.webchat,0,18,09:00,0.072579
billing.webchat,0,19,09:30,0.086711
billing.webchat,0,20,10:00,0.089916
billing.webchat,0,21,10:30,0.081564
billing.webchat,0,22,11:00,0.065778
billing.webchat,0,23,11:30,0.047257
billing.webchat,0,24,12:00,0.028254
billing.webchat,0,25,12:30,0.017711
billing.webchat,0,26,13:00,0.028833
billing.webchat,0,27,13:30,0.052316
billing.webchat,0,28,14:00,0.068667
billing.webchat,0,29,14:30,0.07327
billing.webchat,0,30,15:00,0.06876
billing.webchat,0,31,15:30,0.057819
billing.webchat,0,32,16:00,0.043641
billing.webchat,0,33,16:30,0.029564
billing.webchat,0,34,17:00,0.010785
