line_key,model,horizon,n_obs,actual_total,wape_pct,mape_pct,bias_pct,bias_ratio
billing.voice,seasonal_naive,in_week,110,223088.0,21.15,31.25,-0.14,-0.007
billing.voice,seasonal_naive,short_term,327,705024.0,29.53,36.26,-6.12,-0.207
billing.voice,seasonal_naive,medium_term,984,1965179.0,32.68,41.12,1.27,0.039
billing.voice,decomposition,in_week,110,223088.0,14.16,24.77,-2.27,-0.161
billing.voice,decomposition,short_term,327,705024.0,14.83,23.6,-7.81,-0.527
billing.voice,decomposition,medium_term,984,1965179.0,14.66,24.23,-5.49,-0.374
billing.voice,ridge_log,in_week,110,223088.0,13.1,23.14,-1.56,-0.119
billing.voice,ridge_log,short_term,327,705024.0,12.54,22.31,-3.09,-0.247
billing.voice,ridge_log,medium_term,984,1965179.0,13.35,23.42,-1.18,-0.088
billing.webchat,seasonal_naive,in_week,110,154463.0,22.95,33.14,-2.46,-0.107
billing.webchat,seasonal_naive,short_term,327,498396.0,28.57,35.64,-10.54,-0.369
billing.webchat,seasonal_naive,medium_term,984,1487576.0,28.69,36.26,-9.72,-0.339
billing.webchat,decomposition,in_week,110,154463.0,15.16,26.43,-3.07,-0.202
billing.webchat,decomposition,short_term,327,498396.0,15.58,25.05,-10.73,-0.688
billing.webchat,decomposition,medium_term,984,1487576.0,16.7,26.85,-11.34,-0.679
billing.webchat,ridge_log,in_week,110,154463.0,12.26,22.61,-1.86,-0.152
billing.webchat,ridge_log,short_term,327,498396.0,12.77,22.3,-5.02,-0.393
billing.webchat,ridge_log,medium_term,984,1487576.0,13.34,23.24,-6.15,-0.461
billing.email,seasonal_naive,in_week,110,77127.0,30.32,45.07,-11.64,-0.384
billing.email,seasonal_naive,short_term,327,241754.0,34.67,46.21,-16.55,-0.477
billing.email,seasonal_naive,medium_term,984,699807.0,35.75,48.24,-13.23,-0.37
billing.email,decomposition,in_week,110,77127.0,23.27,39.36,-11.31,-0.486
billing.email,decomposition,short_term,327,241754.0,23.06,36.75,-17.15,-0.744
billing.email,decomposition,medium_term,984,699807.0,22.55,37.15,-15.87,-0.704
billing.email,ridge_log,in_week,110,77127.0,20.32,36.24,-12.59,-0.62
billing.email,ridge_log,short_term,327,241754.0,21.8,35.71,-14.0,-0.642
billing.email,ridge_log,medium_term,984,699807.0,20.65,35.27,-14.23,-0.689
billing.messaging,seasonal_naive,in_week,110,38386.0,20.65,30.37,-2.69,-0.131
billing.messaging,seasonal_naive,short_term,327,122539.0,28.94,35.7,-9.78,-0.338
billing.messaging,seasonal_naive,medium_term,984,364472.0,28.94,36.37,-8.73,-0.302
billing.messaging,decomposition,in_week,110,38386.0,14.55,25.13,-4.05,-0.279
billing.messaging,decomposition,short_term,327,122539.0,15.24,23.95,-9.98,-0.655
billing.messaging,decomposition,medium_term,984,364472.0,15.0,24.34,-9.35,-0.623
billing.messaging,ridge_log,in_week,110,38386.0,12.54,22.94,-2.32,-0.185
billing.messaging,ridge_log,short_term,327,122539.0,12.33,22.24,-4.29,-0.348
billing.messaging,ridge_log,medium_term,984,364472.0,12.02,22.15,-4.07,-0.339
metering.voice,seasonal_naive,in_week,110,52211.0,23.14,31.08,-11.65,-0.504
metering.voice,seasonal_naive,short_term,327,149389.0,17.87,26.19,-8.68,-0.486
metering.voice,seasonal_naive,medium_term,984,461260.0,21.09,29.55,-10.64,-0.505
metering.voice,decomposition,in_week,110,52211.0,13.3,24.8,-4.4,-0.331
metering.voice,decomposition,short_term,327,149389.0,13.12,22.84,-5.06,-0.386
metering.voice,decomposition,medium_term,984,461260.0,13.07,23.29,-5.03,-0.385
metering.voice,ridge_log,in_week,110,52211.0,12.77,23.18,-3.67,-0.288
metering.voice,ridge_log,short_term,327,149389.0,12.07,21.96,-4.0,-0.331
metering.voice,ridge_log,medium_term,984,461260.0,12.22,22.26,-4.01,-0.328
metering.email,seasonal_naive,in_week,110,20697.0,30.05,43.84,-17.9,-0.596
metering.email,seasonal_naive,short_term,327,61026.0,27.0,39.93,-17.62,-0.653
metering.email,seasonal_naive,medium_term,984,186275.0,28.56,41.98,-18.52,-0.648
metering.email,decomposition,in_week,110,20697.0,22.63,40.12,-10.73,-0.474
metering.email,decomposition,short_term,327,61026.0,22.2,36.87,-13.76,-0.62
metering.email,decomposition,medium_term,984,186275.0,21.96,37.69,-12.19,-0.555
metering.email,ridge_log,in_week,110,20697.0,20.47,36.76,-10.39,-0.508
metering.email,ridge_log,short_term,327,61026.0,21.93,36.42,-13.38,-0.61
metering.email,ridge_log,medium_term,984,186275.0,21.12,36.23,-11.84,-0.561
operations.voice,seasonal_naive,in_week,112,93175.0,17.98,16.49,-4.59,-0.255
operations.voice,seasonal_naive,short_term,336,303319.0,26.06,18.06,-12.08,-0.463
operations.voice,seasonal_naive,medium_term,1008,857374.0,29.52,24.45,-6.68,-0.226
operations.voice,decomposition,in_week,112,93175.0,12.92,12.17,-4.75,-0.368
operations.voice,decomposition,short_term,336,303319.0,16.72,11.23,-10.08,-0.603
operations.voice,decomposition,medium_term,1008,857374.0,15.01,11.15,-7.88,-0.525
operations.voice,ridge_log,in_week,112,93175.0,8.9,9.85,1.26,0.142
operations.voice,ridge_log,short_term,336,303319.0,16.04,11.25,-5.92,-0.369
