date,interval,interval_start,line_key,channel,contacts,on_phone_required,rostered_required,service_level,occupancy,binding_constraint
2026-08-17,16,08:00,billing.voice,voice,41.65,13.0,18.0,0.8414,0.7154,service_level
2026-08-17,17,08:30,billing.voice,voice,120.89,33.0,45.68,0.8568,0.8182,service_level
2026-08-17,18,09:00,billing.voice,voice,166.88,44.0,60.91,0.8518,0.8471,service_level
2026-08-17,19,09:30,billing.voice,voice,199.38,53.0,73.37,0.8992,0.8401,occupancy
2026-08-17,20,10:00,billing.voice,voice,206.74,55.0,76.14,0.9062,0.8395,occupancy
2026-08-17,21,10:30,billing.voice,voice,187.54,50.0,69.21,0.8941,0.8377,occupancy
2026-08-17,22,11:00,billing.voice,voice,151.24,40.0,55.37,0.839,0.8444,service_level
2026-08-17,23,11:30,billing.voice,voice,108.66,30.0,41.53,0.8561,0.8089,service_level
2026-08-17,24,12:00,billing.voice,voice,64.96,19.0,26.3,0.8451,0.7636,service_level
2026-08-17,25,12:30,billing.voice,voice,40.72,13.0,18.0,0.8621,0.6996,service_level
2026-08-17,26,13:00,billing.voice,voice,66.3,19.0,26.3,0.8188,0.7793,service_level
2026-08-17,27,13:30,billing.voice,voice,120.29,32.0,44.3,0.8042,0.8395,service_level
2026-08-17,28,14:00,billing.voice,voice,157.89,42.0,58.14,0.8594,0.8396,occupancy
2026-08-17,29,14:30,billing.voice,voice,168.47,45.0,62.29,0.879,0.8361,occupancy
2026-08-17,30,15:00,billing.voice,voice,158.1,42.0,58.14,0.8569,0.8407,occupancy
2026-08-17,31,15:30,billing.voice,voice,132.94,35.0,48.45,0.8017,0.8483,service_level
2026-08-17,32,16:00,billing.voice,voice,100.34,28.0,38.76,0.8584,0.8004,service_level
2026-08-17,33,16:30,billing.voice,voice,67.98,20.0,27.69,0.8619,0.7591,service_level
2026-08-17,34,17:00,billing.voice,voice,24.8,9.0,12.46,0.887,0.6154,service_level
2026-08-17,35,17:30,billing.voice,voice,13.53,6.0,8.31,0.912,0.5037,service_level
2026-08-18,16,08:00,billing.voice,voice,33.94,11.0,15.23,0.8433,0.689,service_level
2026-08-18,17,08:30,billing.voice,voice,98.51,27.0,37.38,0.8235,0.8149,service_level
2026-08-18,18,09:00,billing.voice,voice,135.99,36.0,49.83,0.8193,0.8436,service_level
2026-08-18,19,09:30,billing.voice,voice,162.47,43.0,59.52,0.8546,0.8438,service_level
2026-08-18,20,10:00,billing.voice,voice,168.47,45.0,62.29,0.879,0.8361,occupancy
2026-08-18,21,10:30,billing.voice,voice,152.82,41.0,56.76,0.8694,0.8325,occupancy
2026-08-18,22,11:00,billing.voice,voice,123.25,33.0,45.68,0.8235,0.8341,service_level
2026-08-18,23,11:30,billing.voice,voice,88.54,25.0,34.61,0.8531,0.791,service_level
2026-08-18,24,12:00,billing.voice,voice,52.94,16.0,22.15,0.849,0.7389,service_level
2026-08-18,25,12:30,billing.voice,voice,33.18,11.0,15.23,0.8619,0.6737,service_level
2026-08-18,26,13:00,billing.voice,voice,54.02,16.0,22.15,0.8259,0.7541,service_level
2026-08-18,27,13:30,billing.voice,voice,98.02,27.0,37.38,0.8317,0.8108,service_level
2026-08-18,28,14:00,billing.voice,voice,128.66,34.0,47.07,0.8035,0.8451,service_level
2026-08-18,29,14:30,billing.voice,voice,137.28,37.0,51.22,0.8579,0.8286,service_level
2026-08-18,30,15:00,billing.voice,voice,128.83,34.0,47.07,0.8007,0.8463,service_level
2026-08-18,31,15:30,billing.voice,voice,108.33,30.0,41.53,0.8605,0.8065,service_level
