interval,interval_start,contacts,staffed,required,deficit_fte,projected_sl,recommended_action,line_key
26,13:00,53.0,11.0,16.0,5.0,0.0,"Cross-skill from an over-covered queue, then re-time breaks",billing.voice
27,13:30,54.0,14.2,16.0,1.8,0.551,"Release off-line activity (coaching, 1-2-1s) in this interval",billing.voice
28,14:00,155.0,29.4,41.0,11.6,0.0,"Cross-skill from an over-covered queue, then re-time breaks",billing.voice
29,14:30,127.0,31.6,34.0,2.4,0.536,Re-time breaks and release off-line activity,billing.voice
30,15:00,122.0,27.8,33.0,5.2,0.0,"Cross-skill from an over-covered queue, then re-time breaks",billing.voice
31,15:30,102.0,20.9,28.0,7.1,0.0,"Cross-skill from an over-covered queue, then re-time breaks",billing.voice
32,16:00,72.0,14.4,21.0,6.6,0.0,"Cross-skill from an over-covered queue, then re-time breaks",billing.voice
33,16:30,57.0,11.8,17.0,5.2,0.0,"Cross-skill from an over-covered queue, then re-time breaks",billing.voice
34,17:00,11.0,2.5,5.0,2.5,0.0,Re-time breaks and release off-line activity,billing.voice
35,17:30,15.0,3.6,6.0,2.4,0.0,Re-time breaks and release off-line activity,billing.voice
26,13:00,41.0,7.2,10.0,2.8,0.29,Re-time breaks and release off-line activity,billing.webchat
27,13:30,78.0,12.1,16.0,3.9,0.0,Re-time breaks and release off-line activity,billing.webchat
28,14:00,58.0,8.8,13.0,4.2,0.0,Re-time breaks and release off-line activity,billing.webchat
29,14:30,79.0,12.5,16.0,3.5,0.0,Re-time breaks and release off-line activity,billing.webchat
30,15:00,73.0,10.5,15.0,4.5,0.0,Re-time breaks and release off-line activity,billing.webchat
31,15:30,79.0,14.5,16.0,1.5,0.518,"Release off-line activity (coaching, 1-2-1s) in this interval",billing.webchat
32,16:00,59.0,10.2,13.0,2.8,0.326,Re-time breaks and release off-line activity,billing.webchat
33,16:30,37.0,5.8,9.0,3.2,0.0,Re-time breaks and release off-line activity,billing.webchat
34,17:00,19.0,3.3,5.0,1.7,0.043,"Release off-line activity (coaching, 1-2-1s) in this interval",billing.webchat
35,17:30,5.0,0.8,3.0,2.2,0.0,Re-time breaks and release off-line activity,billing.webchat
26,13:00,13.0,2.7,5.0,2.3,0.0,Re-time breaks and release off-line activity,metering.voice
27,13:30,33.0,8.6,11.0,2.4,0.263,Re-time breaks and release off-line activity,metering.voice
28,14:00,38.0,6.9,12.0,5.1,0.0,"Cross-skill from an over-covered queue, then re-time breaks",metering.voice
29,14:30,38.0,7.7,12.0,4.3,0.0,Re-time breaks and release off-line activity,metering.voice
30,15:00,33.0,7.6,11.0,3.4,0.0,Re-time breaks and release off-line activity,metering.voice
31,15:30,42.0,11.2,13.0,1.8,0.522,"Release off-line activity (coaching, 1-2-1s) in this interval",metering.voice
32,16:00,15.0,4.1,6.0,1.9,0.356,"Release off-line activity (coaching, 1-2-1s) in this interval",metering.voice
